_id;cst_id;cst_first_name;cst_last_name;cst_birth_day;cst_email;cst_address;cst_gender;cst_country;cst_reviews;pro_id;pro_name;pro_brand;pro_category;pro_sub_category;pro_unit_price;pro_quantity;pro_total;or_id;or_status;or_payment_method;or_purchase_date;or_shipping_date;or_delivery_date
ASTT-41574-70;customer/5203;Carlos   ;Rivera;1980-05-20;carlos_rivera98@outlook.com;Avenida Roosevelt 21 ave, Apopa 28030 st San Miguel;Masc;eL salvador;1;PRO/9354-OA64;"Monitor Ultrawide 34"" IPS";LG;Computers;Monitors;;7.0;9579.1241;TXN_33114-UZ;shipped;crypto;2025-03-25;2025-03-31;2025-04-07
ASTT-74829-55;cst_1726;  Lucía ; Rodríguez ;1983-01-21;lucia_rodriguez40@mail.com;Avenida 3 14 ave, Alajuela 49581 st San Jose;fEmale;costa rica;2;PRO-3313-IT57;SoundLink Flex Bluetooth Speaker;bose;Audio;Headsets & Speakers;;3.0;4645.9047;TXN-51867-II;pending;credit_card;2018-04-04;2018-04-09;2018-04-13
ASTT_53048_59;user_5705;Juan   ;   Cruz ;2008-11-06;juan.cruz27@yahoo.com;Avenida Abraham Lincoln 26 zt, San Pedro de Macorís 66227 st San Pedro de Macoris;masculino;rEpublica dominicana;2;PRO/7481-ZU49;"Blade 14"" Gaming Ryzen 9";Razer;Laptops;Gaming Laptops;1001.6604;5.0;5008.302;TXN-52097-RU;shipped;debit_card;2024-09-21;2024-09-26;2024-09-29
ASTT_41984-71;customer_8434;  María  ;  Cevallos   ;2000-09-05;mariacevallos82@icloud.com;Calle Sucre 34 zt, Manta 32097 st Pichincha;f;EC;1;PRO-7459-UA20;"Monitor Portable 14"" USB-C";dell;Computers;Monitors;281.5774;10.0;$2815.774;TXN_18105-IU;delivered;paypal;2019-06-24;2019-06-27;2019-06-30
ASTT_97563-89;user/6871;  Matías ; Sánchez;2001-06-30;matiassanchez15@protonmail.com;Paseo de la Reforma 25 th, Ciudad de México 27302 st Nuevo Leon;Male;Méjico;0;PRO/7979-RU23;JBL Quantum 100 Wired Headset;jbl;Audio;Headsets & Speakers;;4.0;1513.7784;TXN/55991-TZ;shipped;credit_card;2021-11-22;2021-11-26;2021-11-29
ASTT-39941-87;user/5719;  Joaquín   ;Pérez;1981-10-28;joaquin_perez40@mail.com;Avenida Colón 3 AA, Mar del Plata 48163 st Tucuman;m;Arg;1;PRO-6761-TZ21;RAM Memory 32GB DDR5 Pro;Crucial;Computers;Components;$1979.9968;;15839.9744;TXN_98073-AA;shipped;credit_card;2021-07-24;2021-07-30;2021-08-10
ASTT_97465-42;user_7503; Valentina  ;  García ;1997-01-18;valentinagarcia57@icloud.com;Avenida Insurgentes 13 zt, San Luis Potosí 33383 st Chihuahua;F;mexico;2;PRO-5934-ZA72;Cloud Stinger 2 Core Headset;Hyper X;Audio;Headsets & Speakers;;8.0;8344.8048;TXN-35607-UU;processing;bank_transfer;2018-07-12;2018-07-12;2018-07-13
ASTT_63763-34;cst/9851;   José; Martínez ;1983-06-12;jose.martinez61@gmail.com;Calle Cincuentenario 23 zt, Chitré 1137 st Veraguas;masculino;PAN;4;PRO-4330-UA21;"Aspire 5 15.6"" Core i5";Acer;Laptops;Notebooks;;3.0;3860.1606;TXN_47059-UZ;shipped;crypto;2021-10-26;2021-11-02;2021-11-12
ASTT-79695-64;cst/3379;Mateo  ; Ramírez;1991-02-01;mateo.ramirez57@hotmail.com;Avenida Juárez 22 zt, León 54864 st Queretaro;Male;MEX;0;PRO-3795-AO49;"Blade 16"" OLED RTX 4090";Razer;Laptops;Gaming Laptops;;7.0;11533.9952;TXN_73299-ZR;processing;debit_card;2026-01-02;2026-01-02;2026-01-04
ASTT-97606_27;user_6032;James   ;   Brown;1997-01-10;jamesbrown34@hotmail.com;Ocean Drive 30 AA, Philadelphia 82810 st Arizona;Masc;usa;3;PRO_7965-IA54;Gaming Headset HS55 Stereo;cursair;Audio;Headsets & Speakers;;3.0;2260.3365;TXN/66493-IT;shipped;debit_card;2023-03-04;2023-03-09;2023-03-13
ASTT-45800_59;cst_5775; Daniela; Rojas;1984-08-02;daniela_rojas73@protonmail.com;Paseo Colón 40 th, Puntarenas 62681 st Limon;Female;CRI;4;PRO-5809-OO69;Gaming Mouse G502 Hero;Logitech;Peripherals;Input Devices;$397.3946;;$1192.1838;TXN/71262-OT;processing;debit_card;2025-12-22;2025-12-22;2025-12-23
ASTT_82851_53;user/741;Alexander ; García   ;1992-05-09;alexander_garcia41@protonmail.com;Avenida Pardo 25 zt, Chiclayo 68063 st Cusco;Male;PER;2;PRO-3440-TA85;"Aspire 3 14"" Intel Core i3";acer;Laptops;Notebooks;1956.9626;10.0;19569.626;TXN_11288-UI;pending;credit_card;2018-07-15;2018-07-15;2018-07-16
ASTT-75255_21;customer/5634;  Lucas ;   García   ;2007-06-22;lucas.garcia11@protonmail.com;Calle Mitre 3 zt, La Plata 63772 st Entre Rios;mAle;ARG;5;PRO-9264-II47;"Aspire 3 14"" Intel Core i3";acer;Laptops;Notebooks;747.0515;;4482.309;TXN_34589-AZ;shipped;bank_transfer;2022-04-26;2022-05-01;2022-05-04
ASTT_24683-47;cst-2254;  Genesis  ;  Torres;2006-08-01;genesis.torres19@hotmail.com;Bulevar de San Juan 7 AA, Trujillo Alto 12772 st San Juan;F;PR;0;PRO-7736-OO15;Wireless Headset Void RGB Elite;corsair;Audio;Headsets & Speakers;;2.0;2188.819;TXN_70173-AO;pending;crypto;2019-04-25;2019-04-28;2019-05-03
ASTT_45793-19;cst-8614;  Fander ;García   ;2007-07-12;fandergarcia84@icloud.com;Avenida República 0 th, Santo Domingo 15784 st Santo Domingo de los Tsachilas;m;Ecudador;1;PRO/3926-UI67;"Monitor Curved 27"" Odyssey G3";Samsung;Computers;Monitors;$596.4937;2.0;1192.9874;TXN-33284-UO;shipped;bank_transfer;2019-09-16;2019-09-16;2019-09-17
ASTT-42893-68;user_6022;   Carlos;   García ;2001-02-04;carlos.garcia49@ormail.com;Calle Mercaderes 30 AA, Chiclayo 97975 st Lambayeque;Male;perú;3;PRO-3175-IA28;"Monitor 27"" Designer PD2700Q";benk;Computers;Monitors;$1339.2789;;4017.8367;TXN-13237-UI;delivered;credit_card;2022-12-14;2022-12-22;2022-12-29
ASTT_68043_61;cst/327;   Gabriela  ;  Blanco ;2008-08-01;gabriela.blanco74@mail.com;Avenida Las Delicias 28 ave, Puerto La Cruz 58879 st Anzoategui;f;VE;0;PRO/7767-IO15;"Blade 16"" OLED RTX 4090";Razr;Laptops;Gaming Laptops;1542.1665;;6168.666;TXN/16804-IA;delivered;crypto;2021-08-10;2021-08-10;2021-08-11
ASTT-29176_3;cst/4716;Sayra  ;Hernández;2004-05-27;sayra.hernandez16@outlook.com;Bulevar Suyapa 24 th, El Progreso 53246 st Colon;FEMALE;Onduras;0;PRO/3217-RU36;"Blade 16"" OLED RTX 4090";Razer;Laptops;Gaming Laptops;$347.0368;2.0;$694.0736;TXN_87145-RU;pending;credit_card;2026-10-28;2026-10-28;2026-10-30
ASTT-38127-13;user_4838; José  ; Chaves ;2002-10-13;jose_chaves52@hotmail.com;Paseo de los Turistas 14 AA, San Carlos 4000 st Limon;MALE;CostaRica;4;PRO/1059-AA27;Motherboard Z790 AORUS Elite;gigabyte;Computers;Components;1992.0208;5.0;$9960.104;TXN-47503-UI;shipped;credit_card;2021-05-06;2021-05-12;2021-05-21
ASTT_19296-26;customer_8090;Lucas ; Tremblay  ;2006-07-07;lucastremblay25@gmail.com;Banff Avenue 13 th, Ottawa 49772 st Quebec;Male;CAN;4;PRO_8479-RA12;"Monitor 27"" QHD 144Hz Gaming";Dell;Computers;Monitors;$347.5709;;2085.4254;TXN-77324-AA;delivered;credit_card;2026-11-01;2026-11-06;2026-11-09
ASTT-41437_87;cst-5045; Miguel  ;  Rodríguez   ;1988-05-15;miguel_rodriguez46@yahoo.com;Avenida Boggiani 38 ave, Ciudad del Este 59665 st Caaguazu;mAle;Paraguay;5;PRO/3929-OZ5;"Monitor 32"" 4K UHD UltraSharp";Dell;Computers;Monitors;;1.0;1270.5739;TXN-19591-RR;shipped;credit_card;2021-07-12;2021-07-12;2021-07-14
ASTT_14306_86;customer_1674;  María; González  ;1990-06-25;maria_gonzalez48@outlook.com;Avenida Las Delicias 28 ave, Barcelona 22095 st Distrito Capital;FEMALE;VEN;2;PRO/5951-UU20;Water Cooling H100x RGB Elite;Corseir;Computers;Components;$151.4088;;$1059.8616;TXN-96645-IT;shipped;paypal;2021-02-21;2021-02-21;2021-02-23
ASTT_41488_36;customer_8275;Carlos   ;   López  ;1984-10-26;carlos_lopez97@icloud.com;Avenida Jerusalén 17 AA, Apopa 72437 st San Miguel;Masc;SLV;4;PRO/9637-ZO32;"Gaming Laptop 17"" Ryzen 9 RTX 4080";MSI;Laptops;Gaming Laptops;;9.0;1510.3971;TXN_59934-IU;delivered;paypal;2024-07-08;2024-07-14;2024-07-26
ASTT-50914_23;cst_2860;   Sandra   ;  López;1980-04-12;sandra.lopez32@ormail.com;Avenida Pasoancho 35 zt, Santa Marta 21488 st Cundinamarca;femenino;colombia;1;PRO_9382-AO80;"Aspire 3 14"" Intel Core i3";aser;Laptops;Notebooks;$1788.3783;3.0;5365.1349;TXN/81190-ZT;delivered;bank_transfer;2024-03-03;2024-03-08;2024-03-13
ASTT-82536_32;cst-6159; Juan   ; Morales;1988-11-12;juan_morales1@org.com;Calle San Sebastián 2 ave, Arecibo 87644 st Bayamon;masculino;pUerto rico;1;PRO-6067-UT61;"Blade 16"" OLED RTX 4090";Razr;Laptops;Gaming Laptops;1739.0691;10.0;$17390.691;TXN/66947-UU;delivered;crypto;2023-03-12;2023-03-16;2023-03-19
ASTT-91486_59;cst-9097;  Santiago  ; Hernández  ;1981-02-16;santiagohernandez53@gmail.com;Avenida Vallarta 9 AA, León 4170 st Chihuahua;M;MEX;2;PRO_966-OU99;SoundLink Flex Bluetooth Speaker;bose;Audio;Headsets & Speakers;;1.0;730.2574;TXN_28156-RU;shipped;paypal;2023-03-06;2023-03-14;2023-03-21
ASTT-72323_48;user_6367; Francisca;   Soto   ;1981-09-26;francisca.soto64@org.com;Avenida Alemania 13 ave, La Serena 63525 st Araucania;femenino;Chille;5;PRO_4656-TU3;SoundLink Flex Bluetooth Speaker;bose;Audio;Headsets & Speakers;$985.0463;;5910.2778;TXN_58072-ZO;delivered;crypto;2025-08-15;2025-08-15;2025-08-16
ASTT_75170_14;customer/235;  Miguel;Rodríguez   ;2001-08-25;miguel.rodriguez19@gmail.com;Calle Cerro Corá 3 ave, Ciudad del Este 16006 st Central;Masc;pY;1;PRO/237-UU39;"Laptop Gamer 15"" 144Hz DDR5";ASUS;Laptops;Gaming Laptops;521.6695;;$1565.0085;TXN/38085-TR;delivered;credit_card;2021-09-18;2021-09-25;2021-10-07
ASTT-12346_71;user/2260;Junior ;   Díaz   ;1985-01-15;junior.diaz49@outlook.com;Avenida Máximo Gómez 8 th, San Francisco de Macorís 76916 st Santiago;M;DOM;5;PRO-959-RZ17;JBL Quantum 100 Wired Headset;jbl;Audio;Headsets & Speakers;499.8013;;$4998.013;TXN/35545-AA;pending;debit_card;2023-09-18;2023-09-22;2023-09-25
ASTT_16469-54;user-9421; Miguel;  Flores   ;1987-06-04;miguel.flores25@yahoo.com;Avenida Circunvalación 2 ave, La Ceiba 1861 st Yoro;mAle;HND;3;PRO/5658-IR16;"MacBook Pro 14"" M3 Pro";apple;Laptops;Notebooks;314.3782;;2200.6474;TXN-80452-TZ;processing;credit_card;2021-01-14;2021-01-22;2021-02-03
ASTT_19201-42;customer_437;David;   García  ;2002-02-22;davidgarcia29@org.com;Avenida Javier Prado 32 th, Piura 51810 st Loreto;mAle;Per;0;PRO-4958-ZT78;MDR-7506 Professional Headphones;Sonny;Audio;Headsets & Speakers;;8.0;8689.1192;TXN/93659-RT;pending;crypto;2020-02-16;2020-02-19;2020-02-24
ASTT_44527_22;customer-2880;  Agustín; Díaz ;2006-05-14;agustindiaz7@gmail.com;Calle Prat 11 AA, Temuco 11644 st Valparaiso;MALE;chile;0;PRO_7602-TT96;"Pavilion Laptop 15"" AMD R7";hpp;Laptops;Notebooks;$389.3687;5.0;1946.8435;TXN/45258-UO;shipped;bank_transfer;2023-07-12;2023-07-12;2023-07-13
ASTT-88694-43;user/741;Alexander ; García   ;1992-05-09;alexander_garcia41@protonmail.com;Avenida Pardo 25 zt, Chiclayo 68063 st Cusco;Male;PER;2;PRO_966-OU99;SoundLink Flex Bluetooth Speaker;bose;Audio;Headsets & Speakers;;1.0;730.2574;TXN/81294-UU;pending;paypal;2023-09-14;2023-09-14;2023-09-16
ASTT-72872_34;cst/9898;  María ;Pérez   ;2007-05-12;maria.perez3@gmail.com;Calle Principal 17 AA, Caracas 3055 st Distrito Capital;F;Ven;5;PRO/7687-AZ19;"MacBook Pro 16"" M3 Max";Appel;Laptops;Notebooks;408.3593;9.0;$3675.2337;TXN/10826-UI;shipped;debit_card;2023-12-13;2023-12-17;2023-12-20
ASTT_42745_22;customer_5607; Daniela ;Sánchez;1995-05-25;danielasanchez42@protonmail.com;Calle 100 16 ave, Ibagué 53877 st Valle del Cauca;fEmale;colombia;3;PRO-5040-RO87;"XPS 13"" Intel i7 16GB";del;Laptops;Notebooks;$313.2049;8.0;$2505.6392;TXN_30819-RO;shipped;crypto;2021-09-08;2021-09-13;2021-09-16
ASTT_82601-64;cst/2532; Yudelka   ;   García   ;1983-05-09;yudelka.garcia32@ormail.com;Avenida Winston Churchill 12 AA, Higüey 51800 st Duarte;f;republica dominicana;1;PRO/7979-RU23;JBL Quantum 100 Wired Headset;jbl;Audio;Headsets & Speakers;;4.0;1513.7784;TXN/62282-TT;pending;credit_card;2022-12-06;2022-12-11;2022-12-16
ASTT-37644_2;user-2274;  Miriam   ;  Rodríguez   ;1980-06-07;miriam_rodriguez21@icloud.com;Calle de la Fuente 28 AA, La Ceiba 82843 st El Paraiso;femenino;hN;2;PRO_2642-TZ87;TUF Gaming A15 Ryzen 7;ASUS;Laptops;Gaming Laptops;$1070.749;1.0;1070.749;TXN-80452-TZ;processing;credit_card;2021-01-14;2021-01-22;2021-02-03
ASTT_33261-66;customer_4725;Santiago ;   López;1990-06-13;santiagolopez91@protonmail.com;Paseo de la Reforma 34 th, Ciudad de México 34725 st Baja California;Male;Mexico;4;PRO/9633-OT12;TUF Gaming A15 Ryzen 7;asus;Laptops;Gaming Laptops;626.4223;10.0;6264.223;TXN_26879-OA;pending;debit_card;2019-01-04;2019-01-12;2019-01-21
ASTT-84997_30;cst/4467; Javier  ;Colón;1995-04-18;javier.colon25@protonmail.com;Bulevar de San Juan 19 ave, Arecibo 18320 st Bayamon;mAle;PRI;5;PRO_9690-ZR82;SSD NVMe M.2 500GB 980;Samsum;Computers;Components;$1796.4964;;16168.4676;TXN/90556-TU;processing;paypal;2025-05-31;2025-05-31;2025-06-01
ASTT-30938-65;customer/2487;   Ava;   Tremblay  ;1993-04-21;avatremblay36@gmail.com;Banff Avenue 7 ave, Edmonton 2116 st Prince Edward Island;Female;CAN;3;PRO-6737-AI1;Virtuoso RGB Wireless SE;Corsair;Audio;Headsets & Speakers;;8.0;13790.6048;TXN-92435-RI;shipped;credit_card;2025-01-18;2025-01-18;2025-01-19
ASTT_23854-85;user_8804; Guilherme;   Oliveira ;1983-02-15;guilherme_oliveira79@gmail.com;Rua das Flores 7 AA, Porto Alegre 15230 st Parana;mAle;BR;3;PRO_6935-UU21;Gaming Headset HS55 Stereo;corsair;Audio;Headsets & Speakers;;5.0;3569.639;TXN_82138-OI;shipped;crypto;2020-09-01;2020-09-01;2020-09-03
ASTT-92449-20;cst_3972;   Altagracia   ;  Rodríguez   ;2007-01-13;altagraciarodriguez20@org.com;Avenida Winston Churchill 21 ave, La Vega 18774 st San Pedro de Macoris;F;republica dominicana;4;PRO_2642-TZ87;TUF Gaming A15 Ryzen 7;ASUS;Laptops;Gaming Laptops;$1070.749;1.0;1070.749;TXN_75733-IZ;delivered;paypal;2018-02-13;2018-02-16;2018-02-21
ASTT-31157-86;cst-8552; Luis;   Huamán ;1981-08-14;luis.huaman9@gmail.com;Avenida Pardo 25 zt, Trujillo 9142 st Lambayeque;masculino;Per;1;PRO-9550-UR88;Virtuoso RGB Wireless SE;corsair;Audio;Headsets & Speakers;1761.3837;;15852.4533;TXN-88556-RO;processing;paypal;2020-03-31;2020-04-05;2020-04-09
ASTT_97650_23;customer_9208;Lily   ;   Gagnon   ;1987-04-06;lily_gagnon44@mail.com;Jasper Avenue 8 th, Montreal 32518 st Nova Scotia;Fem;Cananda;4;PRO/8025-OT31;Wireless Headset Noise Cancelling;sony;Audio;Headsets & Speakers;$811.8655;;4871.193;TXN_43155-AO;delivered;paypal;2021-08-06;2021-08-12;2021-08-19
ASTT-72672-21;cst/932; Carlos  ;  Rodríguez   ;2002-07-01;carlos.rodriguez14@outlook.com;Avenida Mariscal López 1 ave, Fernando de la Mora 2594 st Alto Parana;masculino;pY;1;PRO-1914-AO38;QuietComfort Wireless Headset;Bose;Audio;Headsets & Speakers;977.1362;10.0;9771.362;TXN/39960-TA;pending;debit_card;2021-01-16;2021-01-16;2021-01-18
ASTT-79673_92;cst_2194;María   ;Rodríguez  ;1980-02-26;mariarodriguez59@icloud.com;Paseo de la Reforma 26 zt, San Luis Potosí 73928 st Puebla;F;MEX;5;PRO/3771-OI1;"Monitor 24"" Professional P2422H";del;Computers;Monitors;$950.3913;;$7603.1304;TXN/39124-ZU;processing;crypto;2020-11-26;2020-12-02;2020-12-11
ASTT_18952_20;customer_7056;Blanca   ;   López ;1999-09-25;blanca.lopez88@ormail.com;Calle Oliva 39 th, Capiatá 68835 st Amambay;f;Paragay;2;PRO/7191-IT12;Keyboard K530 Pro Wireless;Redragn;Peripherals;Input Devices;1726.7697;;$15540.9273;TXN_10311-AT;shipped;crypto;2019-02-04;2019-02-04;2019-02-06
ASTT-84740-31;cst-249; Sofia   ;  Huamán;1996-06-08;sofia_huaman49@mail.com;Avenida Javier Prado 4 ave, Lima 85822 st Lima;femenino;pEru;0;PRO_540-UZ78;Processor Core i7-12700K;inttel;Computers;Components;$1588.0893;6.0;$9528.5358;TXN/48269-OO;shipped;credit_card;2021-01-07;2021-01-14;2021-01-24
ASTT-69451-37;cst/8217;Cindy   ;  García ;1987-07-04;cindy_garcia58@org.com;Bulevar Centroamérica 16 zt, Siguatepeque 57090 st Yoro;Fem;hOnduras;1;PRO_9860-RI52;Motherboard TUF Gaming B650;asus;Computers;Components;851.4509;1.0;851.4509;TXN-98277-RO;pending;crypto;2020-12-13;2020-12-21;2020-12-29
ASTT_95340-61;cst_6978;Elijah ;   Martinez;1999-01-06;elijah_martinez16@protonmail.com;Michigan Avenue 40 AA, Dallas 95270 st North Carolina;M;United States;0;PRO-1959-TO10;"Monitor Gaming 32"" Odyssey G7";Samsum;Computers;Monitors;;1.0;113.1508;TXN/99137-ZZ;delivered;debit_card;2019-02-24;2019-03-03;2019-03-13
ASTT-85337-54;cst_268; Camila;  Cevallos   ;1996-10-23;camila.cevallos90@org.com;Calle Sucre 25 ave, Machala 39122 st Tungurahua;fEmale;ECU;1;PRO-3306-UI14;Wireless Mouse Ergonomic MX Master;Logitech;Peripherals;Input Devices;$924.283;7.0;6469.981;TXN_73057-TI;shipped;credit_card;2023-03-01;2023-03-01;2023-03-03
ASTT-72518-90;user_7545;Yudelka   ;García  ;1995-09-03;yudelka.garcia49@hotmail.com;Avenida Abraham Lincoln 6 zt, Santo Domingo 24022 st San Cristobal;F;republica dominicana;2;PRO_195-RO19;USB Flash Drive 128GB DataTraveler;Kigston;Computers;Components;;1.0;315.8828;TXN-98277-RO;pending;crypto;2020-12-13;2020-12-21;2020-12-29
ASTT_45811_17;customer/5215; Catalina  ;   Pérez ;1983-09-26;catalina_perez28@yahoo.com;Avenida Pellegrini 26 zt, San Juan 82127 st San Juan;Fem;aR;1;PRO_3576-AR83;Wireless Keyboard MX Keys Mini;Logi;Peripherals;Input Devices;$1386.2688;2.0;2772.5376;TXN_33790-IA;delivered;paypal;2019-12-29;2020-01-01;2020-01-05
ASTT_46904_95;user-5855;  Juan;   Chaves;1997-10-17;juanchaves9@ormail.com;Avenida Central 12 ave, Heredia 83871 st Guanacaste;Masc;CR;3;PRO-3937-UT84;"Monitor Ultrawide 34"" IPS";Lg;Computers;Monitors;$1865.3555;1.0;$1865.3555;TXN-50313-UZ;processing;crypto;2023-08-09;2023-08-09;2023-08-10
ASTT-73839_39;user-7002;  Gabriel ;  Mora ;2000-02-17;gabriel.mora27@ormail.com;Avenida Segunda 4 AA, Puntarenas 86715 st Heredia;MALE;CR;4;PRO-5947-ZU2;"Gaming Laptop 17"" Ryzen 9 RTX 4080";MSI;Laptops;Gaming Laptops;;9.0;3695.4549;TXN-42569-AO;pending;bank_transfer;2018-08-04;2018-08-04;2018-08-05
ASTT-55621-8;user_4631;   Elizabeth; Rosario ;2007-02-14;elizabeth_rosario29@yahoo.com;Avenida Juan Pablo Duarte 10 ave, San Francisco de Macorís 50576 st San Cristobal;Female;DO;3;PRO-5934-ZA72;Cloud Stinger 2 Core Headset;Hyper X;Audio;Headsets & Speakers;;8.0;8344.8048;TXN/28121-IA;pending;crypto;2019-12-07;2019-12-07;2019-12-09
ASTT-49907-1;user/9999; Ana ;   Martínez;2007-06-14;anamartinez74@ormail.com;Calle Rubén Darío 2 zt, San Salvador 58554 st Sonsonate;Female;SLV;4;PRO-6189-ZZ76;Processor Ryzen 5 8600g;amd;Computers;Components;564.6092;8.0;4516.8736;TXN_36173-RU;shipped;paypal;2023-04-27;2023-04-27;2023-04-28
ASTT-81544_72;customer_6918;Carmen ;Rivera;2001-09-26;carmen.rivera16@yahoo.com;Avenida Ashford 29 zt, Ponce 18488 st Arecibo;fEmale;pR;1;PRO_971-OT26;"Aspire 5 15.6"" Core i5";Acser;Laptops;Notebooks;;7.0;13578.7827;TXN/29833-AR;processing;credit_card;2026-10-26;2026-10-31;2026-11-04
ASTT_21302_11;cst/8518;Sebastian  ; Santiago ;1994-02-24;sebastian.santiago75@hotmail.com;Calle Fortaleza 34 AA, Ponce 96221 st San Juan;Masc;puerto rico;4;PRO_5722-II91;Wireless Mouse Ergonomic MX Master;Logitec;Peripherals;Input Devices;$563.8165;4.0;2255.266;TXN-47638-IU;processing;crypto;2019-05-21;2019-05-21;2019-05-22
ASTT_24159-72;user/1112; Francis ;Díaz;2000-01-12;francisdiaz46@ormail.com;Avenida Máximo Gómez 6 zt, San Pedro de Macorís 8923 st Peravia;Male;Rep Dominicana;0;PRO-1726-ZR0;"Monitor Smart M7 43"" 4K";Samsong;Computers;Monitors;$884.541;;$884.541;TXN/72279-ZI;shipped;crypto;2019-06-09;2019-06-17;2019-06-25
ASTT-72670_90;cst/9733; Alejandro ;   Pérez   ;2007-12-12;alejandroperez19@mail.com;Avenida Vallarta 15 zt, León 53865 st Chihuahua;mAle;Mejico;1;PRO-7736-OO15;Wireless Headset Void RGB Elite;corsair;Audio;Headsets & Speakers;;2.0;2188.819;TXN_65746-TZ;delivered;credit_card;2018-03-26;2018-03-31;2018-04-05
ASTT_39543_29;cst/3288;   David   ;  Sánchez ;1990-03-30;david_sanchez39@yahoo.com;Avenida Balboa 30 th, Aguadulce 3883 st Bocas del Toro;m;pAnama;3;PRO-1726-ZR0;"Monitor Smart M7 43"" 4K";Samsong;Computers;Monitors;$884.541;;$884.541;TXN_66387-ZO;processing;paypal;2024-12-25;2024-12-29;2025-01-02
